aX,aY,aZ,Gx,Gy,Gz
1.828,0.349,-2.364,-23.01,-27.527,49.622
2.125,1.014,-2.388,9.277,-36.072,-20.203
3.685,1.459,-1.78,35.034,-39.063,-96.13
4.479,2.125,-3.106,51.209,-22.156,-34.18
3.115,1.895,-4.063,53.345,-5.981,41.382
2.268,1.675,-3.527,44.861,10.01,83.557
1.617,0.421,-7.896,29.846,23.254,55.908
2.177,-2.364,2.833,8.118,40.527,-49.683
1.436,0.273,-3.914,-17.09,61.646,-29.968
-0.613,0.9,-2.249,-33.02,71.655,88.44
-2.718,-1.962,-0.651,-31.006,59.509,136.597
-3.316,-2.321,-0.622,-17.395,28.687,6.653
-1.254,-2.048,0.215,9.155,-6.348,-124.634
0.043,-1.914,0.211,37.415,-15.259,-44.067
-0.33,-1.498,0.258,51.697,-15.991,23.315
0.273,-1.699,1.78,53.284,-11.414,8.789
0.957,-1.479,2.924,45.776,-2.869,8.972
-0.124,0.541,2.9,25.391,10.01,63.904
-0.613,3.441,4.268,-10.925,23.804,107.117
0.766,8.742,-0.794,-48.95,40.833,81.97
-0.402,6.292,-2.297,-92.59,50.537,28.992
-4.689,-1.297,-0.402,-86.792,27.893,-12.024
-2.9,-1.828,-2.201,-45.959,-15.808,-82.52
-1.258,-2.211,-2.613,9.766,-47.18,-79.468
0.617,0.421,-2.421,41.504,-56.58,-22.278
0.44,2.22,-3.034,43.03,-54.871,5.31
-0.723,3.785,-2.637,23.56,-51.819,14.771
-1.713,3.488,-2.105,-4.883,-52.185,-53.955
-1.483,2.206,-1.058,-15.015,-55.908,-81.97
-0.23,1.077,-0.1,-6.592,-55.725,-51.514
-0.79,0.134,0.148,8.423,-61.462,-45.593
-1.335,0.191,-0.79,17.395,-68.298,-51.758
-0.1,0.517,-0.785,12.39,-73.303,-66.162
1.211,1.072,-1.263,-7.324,-63.721,-58.411
2.512,0.857,-0.962,-31.128,-48.828,-64.453
4.168,0.703,-2.072,-53.772,-23.743,-62.988
1.756,-2.263,0.234,-40.527,-14.709,-32.166
0.866,-3.584,0.512,9.46,-22.095,-5.432
0.804,-2.637,0.129,57.068,-34.912,5.554
2.795,-1.01,-0.081,69.519,-34.912,-3.967
3.613,0.273,-1.192,52.734,-15.503,24.597
3.914,0.885,-1.766,21.362,7.935,52.307
4.101,1.364,-3.531,-20.691,33.752,1.953
1.708,-1.919,-1.723,-23.804,38.757,-40.344
-1.01,-3.618,0.66,20.691,25.574,78.308
-2.096,-0.373,0.818,58.228,-1.77,72.388
-0.378,2.364,0.77,45.41,-12.146,-18.494
2.799,1.78,1.067,5.859,7.507,-56.458
5.402,1.613,0.301,-36.987,48.584,-23.743
1.416,1.924,-0.694,-54.688,70.618,66.101
-3.579,-1.412,-0.703,-29.419,59.998,145.996
-5.058,-1.995,-1.244,8.972,23.01,84.473
-3.986,-0.569,-1.938,37.964,-17.822,15.686
-2.675,0.727,-1.68,36.255,-34.119,7.629
-0.66,1.488,-1.416,15.259,-31.128,5.127
0.392,1.66,-1.215,-13.0,-20.63,-13.733
-0.158,-0.225,0.321,-17.395,-19.653,-12.451
-0.287,-1.436,1.034,1.953,-26.001,5.493
0.383,-0.976,0.522,19.409,-31.677,-4.822
1.584,-0.852,-0.244,23.071,-27.344,-5.859
2.297,-0.234,-0.373,16.174,-12.817,33.142
0.904,1.144,0.201,1.16,-2.319,45.532
-0.33,0.019,0.579,-11.23,4.578,42.603
-0.22,-0.569,0.297,-15.686,13.245,32.288
0.311,0.962,-0.273,-23.865,20.203,4.883
1.316,-0.416,-0.345,-27.344,23.621,-55.359
-0.569,-2.072,-0.354,2.319,15.991,4.15
-3.201,-1.909,-0.124,50.232,-11.719,172.058
-4.8,2.876,-1.297,41.382,-48.828,114.929
-1.168,3.168,-1.115,4.883,-50.842,-8.728
3.139,2.948,-2.9,-37.781,-7.324,-61.279
4.34,2.522,-3.694,-63.232,52.063,1.587
-1.168,-1.761,-2.297,-41.809,85.999,76.965
-5.321,-1.885,-1.325,15.442,57.556,127.564
-6.364,0.651,-2.847,32.532,1.343,42.175
-4.785,2.957,-4.115,2.197,-55.176,-58.044
